id,type,time,title,article_url,image_url,article
4EwoSVMEbxy,article,2023-10-15 08:26:09,联合国：加沙地带的人道主义形势正在“迅速恶化”,https://world.huanqiu.com/article/4EwoSVMEbxy,https://rs1.huanqiucdn.cn/dp/api/files/imageDir/476c47112d605b507bb20f9a1b9e8c1e.jpeg?w=1260,"当地时间10月14日，联合国方面表示，目前加沙地带物资匮乏，人道主义形势严峻。联合国分管人道主义事务的副秘书长马丁·格里菲斯发表声明说，加沙地带的人道主义形势正在“迅速恶化”。声明中说，加沙地带缺乏电力、水和燃料，同时食品供应也难以确保。联合国近东巴勒斯坦难民救济和工程处14日也在其官网警告称，当前加沙地带饮用水与燃料的匮乏“已经成为生死攸关的问题”。加沙地带已有近100万人流离失所，而由于以方全面封锁加沙地带，切断了水电物资供应，当地疾病传播的风险正在迅速增加。
本轮冲突造成的人道主义灾难“令人震惊”

据法新社14日报道，红十字会与红新月会国际联合会和红十字国际委员会发表联合声明称，本轮巴以冲突造成的人道主义灾难“令人震惊”，受冲突影响的民众正在面临“毁灭性的”人道主义形势。
世卫组织：加沙或受流行病严重威胁

据俄罗斯卫星通讯社14日报道，世卫组织表示，由于缺乏干净的饮用水，加沙地带或将受到流行病的严重威胁，对于当地缺乏医药与医疗救助的民众而言，这些疾病可能将是致命的。
"
4EwleRQJNdR,article,2023-10-15 07:07:35,巴以新一轮冲突已造成双方近4000人死亡,https://world.huanqiu.com/article/4EwleRQJNdR,https://rs1.huanqiucdn.cn/dp/api/files/imageDir/ccf1f92d1e12bc0abd637ae1a4d95441.jpg?w=1260,"北京时间10月15日 3时03分
巴以新一轮冲突已造成双方近4000人死亡
当地时间14日，巴勒斯坦卫生部称当天以色列的空袭已导致加沙地带至少400人死亡，超过1500人受伤。
当天早些时候，巴勒斯坦卫生部门公布的统计数字显示，截至当地时间11时55分，巴以新一轮冲突已致加沙地带2215人死亡，8714人受伤；约旦河西岸有54人死亡，1100多人受伤。《耶路撒冷邮报》13日晚报道，以色列卫生部数据显示，本轮巴以冲突致以方死亡人数超过1300人，受伤人数至少达到3484人。
截至目前，巴以本轮冲突已造成双方共计近4000人死亡。
北京时间10月15日 2时08分
哈马斯向特拉维夫及周边地带发起袭击 以军方称拦截多枚火箭弹
当地时间14日21时许，巴勒斯坦伊斯坦抵抗运动（哈马斯）向以色列特拉维夫市中心及周边地带密集发起火箭弹袭击。
以色列军方表示，以色列防空部队在以中部成功拦截多枚火箭弹，特拉维夫机场暂时关闭，未有人员伤亡的报告。
另据多家媒体消息，以色列中部城市巴特亚姆一处建筑被火箭弹击中，暂无人员伤亡报告。
北京时间10月15日 1时22分
哈马斯称已做好准备应对以军任何地面军事行动
综合半岛电视台等媒体消息，当地时间14日晚，巴勒斯坦伊斯兰抵抗运动（哈马斯）下属武装派别卡桑旅向以色列陆军方面发布信息称，已为以军任何地面军事行动做好充分的应对准备。
北京时间10月15日 0时04分
以军称正在准备对加沙实施更为广泛的地面军事行动计划
当地时间14日晚间，以色列国防军发表声明称，以军在后勤部门的支持下，已经完成了数十万军人的后备动员，正在准备对加沙实施更为广泛的地面军事行动计划，来扩大以军攻势，其中包括陆海空的联合攻击。

声明表示，目前以军已经完成在以色列境内的部队部署，将加强针对下一阶段军事行动的准备，其中重点就是对加沙地带发动地面行动。
北京时间10月14日 22时49分
以色列总理内塔尼亚胡称即将开启下一阶段军事行动
当地时间14日，以色列总理办公室发表声明称，以色列总理内塔尼亚胡视察了加沙地带附近的一处以军步兵兵营，并对以军士兵说：“你们准备好进入下一阶段（军事行动）了吗？下一阶段（军事行动）即将到来。”
目前，以色列此前给出的“要求加沙地带北部上百万巴勒斯坦人南撤”的“最后期限”已过。
以色列国防军14日早些时候宣布，“要求加沙居民在当地时间10时至16时（北京时间15时至21时）期间，通过‘疏散走廊’离开加沙地带北部”。
此前以军已“通知联合国”称，加沙地带北部地区的上百万巴勒斯坦人应在24小时内全部迁移到加沙南部。外界普遍猜测，在对加沙地带的巴勒斯坦伊斯兰抵抗运动（哈马斯）进行了一周的空袭和炮击后，以军可能准备发动地面进攻。
北京时间10月14日 22时30分
巴勒斯坦卫生部门：本轮巴以冲突已致28名巴医务人员死亡
根据巴勒斯坦卫生部门的统计，截至当地时间14日下午，本轮巴以冲突已致28名巴勒斯坦医务人员死亡，数十人受伤，另有23辆救护车受损。
北京时间10月14日 22时07分
哈马斯再次向以色列发动火箭弹袭击
当地时间14日17时，巴勒斯坦伊斯坦抵抗运动（哈马斯）再次向以色列特拉维夫和南部城市阿什凯隆等地同时发起火箭弹袭击。
"
4EwlSor0Uh2,article,2023-10-15 07:02:20,以色列国家安全顾问承认误判情报,https://world.huanqiu.com/article/4EwlSor0Uh2,,"当地时间14日晚，以色列国家安全顾问（国家安全委员会主席）察希·哈内格比在一场电视新闻发布会上表示，该委员会“对巴勒斯坦伊斯兰抵抗运动（哈马斯）自本月7日以来对以色列的攻击行动负有责任，在哈马斯发动攻击前没有掌握任何情报信息”，该委员会将对此次工作上的疏忽进行审查。
据报道，巴以本轮大规模冲突爆发前几天，哈内格比在接受采访时还曾称“哈马斯不敢再向以色列发动袭击”。在14日晚的电视新闻发布会上，哈内格比承认“判断出错”，并称这是“整个以色列情报界的误判”。
哈内格称，以色列国家安全总局（辛贝特）事先确实收到一份“不同寻常的情报”，并为此于当地时间本月7日4时召集会议，但会议最终并未认为该情报足以支撑发出任何切实警告。（总台记者 孙建）
"
4EwlGzw93an,article,2023-10-15 06:57:00,哈马斯称已做好准备应对以军任何地面军事行动,https://world.huanqiu.com/article/4EwlGzw93an,,"综合半岛电视台等媒体消息，当地时间14日晚，巴勒斯坦伊斯兰抵抗运动（哈马斯）下属武装派别卡桑旅向以色列陆军方面发布信息称，已为以军任何地面军事行动做好充分的应对准备。
当天稍早，以色列总理内塔尼亚胡称即将开启下一阶段军事行动，随后以色列国防军发表声明称，正在准备对加沙实施更为广泛的地面军事行动计划。（总台记者 孙建）
"
reuters_b13f7469-d2e2-43ce-a56e-29de32868766,TextStoryCard,2023-10-14T17:47:09Z,Israel and Hamas at war: Latest news,https://www.reuters.com/world/middle-east/israel-hamas-war-latest-news-2023-10-14/,,
reuters_9a280309-2eae-470a-b6a3-cdaf6395e730,TextStoryCard,2023-10-14T21:20:06Z,"Biden holds calls with Israel's Netanyahu, Palestinians' Abbas",https://www.reuters.com/world/middle-east/biden-holds-separate-calls-with-israels-netanyahu-palestinians-abbas-2023-10-14/,,
reuters_3c7d3721-b2e8-4daa-ad3d-83a7ba184de2,TextStoryCard,2023-10-14T21:58:50Z,Israeli attack on Syrian Aleppo airport puts it out of service,https://www.reuters.com/world/middle-east/israeli-attack-syrian-aleppo-airport-puts-it-out-service-2023-10-14/,,
reuters_5a79e413-e5f0-4279-9824-a8ac7f8089d2,TextStoryCard,2023-10-14T23:18:50Z,Palestinians haunted by 'Nakba' while bracing for Gaza offensive,https://www.reuters.com/world/middle-east/palestinians-haunted-by-nakba-while-bracing-gaza-offensive-2023-10-14/,,
reuters_2dc1a269-83a1-41d9-bce9-77fd6bdb6b4e,TextStoryCard,2023-10-14T23:44:12Z,"Mexico, Ukraine press Israel to open humanitarian corridor to Gaza",https://www.reuters.com/world/mexico-presses-israel-open-humanitarian-corridor-gaza-2023-10-14/,,
reuters_7d5d09df-e06e-4e34-8dc8-e8d87175f82e,TextStoryCard,2023-10-15T00:20:12Z,"Grieving and on edge, US Jews, Muslims seek solace as Hamas-Israel war rages",https://www.reuters.com/world/grieving-edge-us-jews-muslims-seek-solace-hamas-israel-war-rages-2023-10-14/,,
reuters_6335c460-b5d2-49ab-9227-621bfc36330d,TextStoryCard,2023-10-14T23:52:11Z,"Hamas, Iran leaders agree to 'continue cooperation' after attack on Israel",https://www.reuters.com/world/middle-east/hamas-iran-leaders-agree-continue-cooperation-after-attack-israel-2023-10-14/,,
reuters_21251e7c-791b-4ced-8bab-4512e128d953,TextStoryCard,2023-10-15T03:34:53Z,"Israeli forensic teams describe signs of torture, abuse",https://www.reuters.com/world/middle-east/israeli-forensic-teams-describe-signs-torture-abuse-2023-10-15/,,
reuters_7071193e-2d4a-43b3-a770-1d055d66fe1e,TextStoryCard,2023-10-15T01:05:54Z,Poland holds high-stakes election amid rows over democratic rule,https://www.reuters.com/world/europe/poland-holds-high-stakes-election-amid-rows-over-democratic-rule-2023-10-15/,,
